Name;Curs($);Dolyaoborota(%);StavkaCB(%);VVP(trl$);VVPnadushu(trl$);Srednayazp($);Vneshniydolg(trl$);Вн.долг от 0 до 1(трлн$);Вн.долг от 1 до 10(трлн$);Вн.долг больше 10(трлн$);Ср.ЗП от 1 до 1000(тыс$);Ср.ЗП от 1000 до 3000(тыс$);Ср ЗП от 3000 до 5000(тыс$);Ср.ЗП выше 5000(тыс$);ВВП от 0.1 до 1(трлн$);ВВП от 1 до 10(трлн$);ВВП выше 10(трлн$);Доля оборота от 1 до 2(трлн$);Доля оборота от 2 до 10(трлн$);Доля оборота от 10 до 50(трлн$);Доля оборота выше 50(трлн$);Кл.ставка < 1%;Кл.ставка от 1 до 10%;Кл.ставка > 10%;Курс к $ >= 1;Курс к $ от 1 до 0.5;Курс к $ < 0.5
USD (доллар США);1;87.62;0.5;21.439;65112;3921;22.56;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0
EUR (евро);1.1;31.27;0.25;18.292;44539;0;15.302;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0
JPY (японская йена);0.00082;21.56;0.3;5.154;45456;3150;12.142;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1
GBP (фунт стерлингов);1.31;12.78;0.75;2.828;45741;3346;1,6828;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0
AUD (австралийский доллар);0.75;6.94;0.75;1.331;52379;3950;0.577;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0
CAD (канадский доллар);0.80;5.13;0.25;1.731;50725;3151;0.685;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0
CHF (швейцарский франк);1.08;4.78;-0.75;0.706;65010;6244;0.273;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0
CNY (юань);0.16;3.97;3.7;14.14;19504;1545;6.645;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
SEK (шведская крона);0.11;2.22;0;0.556;53652;2893;0.215;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1
MXN (песо);0.05;2.20;6.5;1.274;20868;1000;0.682;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1
NZD (новозеландский доллар);0.69;2.06;1;0.36;40096;3354;0.06;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0
SGD (сингапурский доллар);0.74;1.79;0.33;0.362;103181;3782;0.403;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0
HKD (гонконгский доллар);0.13;1.73;0.75;0.362;64199;2015;0.002;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
NOK (норвежская крона);0.11;1.76;0.75;0.434;74357;5450;0.158;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1
KRW (южнокорейская вона);0.00082;1.65;0.75;1.63;44740;2964;0.598;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1
TRY (турецкая лира);0.068;1.4;14;0.771;28044;961;0.224;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1
INR (индийская рупия);0.013;1.14;14.5;3.202;9027;100;2.21;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1
RUB (российский рубль);0.012;1.14;20;1.665;28797;788;0.181;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1
