Name;Curs($);StavkaCB(%)
USD (доллар США);1;0.5
RUB JANUARY (российский рубль в январе);0.01617806;6.25
RUB FEBRUARY (российский рубль в феврале);0.01562993;6
RUB MARCH (российский рубль в марте);0.01356495;6
RUB APRIL (российский рубль в апреле);0.01337551;6
RUB MAY (российский рубль в мае);0.01379305;5.5
RUB JUNE (российский рубль в июне);0.01445156;5.5
RUB JULY (российский рубль в июле);0.01402641;4.5
RUB AUGUST (российский рубль в августе);0.01355048;4.25
RUB SEPTEMBER (российский рубль в сентябре);0.01320516;4.25
RUB OCTOBER (российский рубль в октябре);0.01287606;4.25
RUB NOVEMBER (российский рубль в ноябре);0.01301414;4.25
RUB DECEMBER (российский рубль в декабре);0.01347406;4.25
